id_codedep_codecom,coddep,commune,pmun,pcap,ptot
02001,02,ABBÉCOURT,502,11,513
02002,02,ACHERY,610,8,618
02003,02,ACY,1021,24,1045
02004,02,AGNICOURT-ET-SÉCHELLES,182,5,187
02005,02,AGUILCOURT,380,8,388
02006,02,AISONVILLE-ET-BERNOVILLE,262,9,271
02007,02,AIZELLES,122,1,123
02008,02,AIZY-JOUY,294,4,298
02009,02,ALAINCOURT,534,6,540
02010,02,ALLEMANT,173,4,177
02011,02,AMBLENY,1138,54,1192
02012,02,AMBRIEF,71,0,71
02013,02,AMIFONTAINE,386,9,395
02014,02,AMIGNY-ROUY,729,23,752
02015,02,ANCIENVILLE,72,1,73
02016,02,ANDELAIN,216,9,225
02017,02,ANGUILCOURT-LE-SART,323,4,327
02018,02,ANIZY-LE-GRAND,2574,53,2627
02019,02,ANNOIS,362,5,367
02020,02,ANY-MARTIN-RIEUX,455,8,463
02021,02,ARCHON,84,3,87
02022,02,ARCY-SAINTE-RESTITUE,403,6,409
02023,02,ARMENTIÈRES-SUR-OURCQ,102,3,105
02024,02,ARRANCY,51,0,51
02025,02,ARTEMPS,367,2,369
02027,02,ASSIS-SUR-SERRE,214,7,221
02028,02,ATHIES-SOUS-LAON,2606,60,2666
02029,02,ATTILLY,354,12,366
02030,02,AUBENCHEUL-AUX-BOIS,257,4,261
02031,02,AUBENTON,661,6,667
02032,02,AUBIGNY-AUX-KAISNES,253,4,257
02033,02,AUBIGNY-EN-LAONNOIS,104,2,106
02034,02,AUDIGNICOURT,121,4,125
02035,02,AUDIGNY,280,9,289
02036,02,AUGY,72,1,73
02037,02,AULNOIS-SOUS-LAON,1386,30,1416
02038,02,LES AUTELS,59,0,59
02039,02,AUTREMENCOURT,173,3,176
02040,02,AUTREPPES,180,3,183
02041,02,AUTREVILLE,807,15,822
02042,02,AZY-SUR-MARNE,384,2,386
02043,02,BAGNEUX,65,1,66
02044,02,BANCIGNY,25,0,25
02046,02,BARENTON-BUGNY,557,9,566
02047,02,BARENTON-CEL,108,5,113
02048,02,BARENTON-SUR-SERRE,133,4,137
02049,02,BARISIS-AUX-BOIS,739,13,752
02050,02,BARZY-EN-THIÉRACHE,323,2,325
02051,02,BARZY-SUR-MARNE,391,6,397
02052,02,BASSOLES-AULERS,135,6,141
02053,02,VALLÉES EN CHAMPAGNE,571,6,577
02054,02,BAZOCHES-SUR-VESLES,461,4,465
02055,02,BEAUMÉ,88,2,90
02056,02,BEAUMONT-EN-BEINE,179,1,180
02057,02,BEAUREVOIR,1406,18,1424
02058,02,BEAURIEUX,856,10,866
02059,02,BEAUTOR,2714,28,2742
02060,02,BEAUVOIS-EN-VERMANDOIS,257,7,264
02061,02,BECQUIGNY,246,7,253
02062,02,BELLEAU,137,4,141
02063,02,BELLENGLISE,378,8,386
02064,02,BELLEU,3832,53,3885
02065,02,BELLICOURT,600,13,613
02066,02,BENAY,196,2,198
02067,02,BERGUES-SUR-SAMBRE,210,5,215
02068,02,BERLANCOURT,88,4,92
02069,02,BERLISE,105,2,107
02070,02,BERNOT,445,12,457
02071,02,BERNY-RIVIÈRE,658,15,673
02072,02,BERRIEUX,186,2,188
02073,02,BERRY-AU-BAC,670,4,674
02074,02,BERTAUCOURT-EPOURDON,593,10,603
02075,02,BERTHENICOURT,195,2,197
02076,02,BERTRICOURT,152,3,155
02077,02,BERZY-LE-SEC,379,9,388
02078,02,BESMÉ,163,3,166
02079,02,BESMONT,149,0,149
02080,02,BESNY-ET-LOIZY,333,9,342
02081,02,BÉTHANCOURT-EN-VAUX,434,8,442
02082,02,BEUGNEUX,110,0,110
02083,02,BEUVARDES,750,15,765
02084,02,BÉZU-LE-GUÉRY,257,5,262
02085,02,BÉZU-SAINT-GERMAIN,1015,25,1040
02086,02,BICHANCOURT,1006,11,1017
02087,02,BIEUXY,34,1,35
02088,02,BIÈVRES,92,3,95
02089,02,BILLY-SUR-AISNE,1148,21,1169
02090,02,BILLY-SUR-OURCQ,207,10,217
02091,02,BLANZY-LÈS-FISMES,95,1,96
02093,02,BLÉRANCOURT,1298,59,1357
02094,02,BLESMES,464,9,473
02095,02,BOHAIN-EN-VERMANDOIS,5686,78,5764
02096,02,BOIS-LÈS-PARGNY,197,3,200
02097,02,BONCOURT,256,2,258
02098,02,BONNEIL,379,14,393
02099,02,BONNESVALYN,221,5,226
02100,02,BONY,138,0,138
02101,02,BOSMONT-SUR-SERRE,192,5,197
02102,02,BOUCONVILLE-VAUCLAIR,191,6,197
02103,02,BOUÉ,1339,16,1355
02104,02,BOUFFIGNEREUX,99,4,103
02105,02,BOURESCHES,196,2,198
02106,02,BOURG-ET-COMIN,810,12,822
02107,02,BOURGUIGNON-SOUS-COUCY,107,4,111
02108,02,BOURGUIGNON-SOUS-MONTBAVIN,159,4,163
02109,02,LA BOUTEILLE,475,10,485
02110,02,BRAINE,2235,25,2260
02111,02,BRANCOURT-EN-LAONNOIS,721,11,732
02112,02,BRANCOURT-LE-GRAND,553,13,566
02114,02,BRASLES,1563,37,1600
02115,02,BRAYE-EN-LAONNOIS,190,6,196
02116,02,BRAYE-EN-THIÉRACHE,147,1,148
02117,02,BRAY-SAINT-CHRISTOPHE,68,0,68
02118,02,BRAYE,129,2,131
02119,02,BRÉCY,327,6,333
02120,02,BRENELLE,196,6,202
02121,02,BRENY,240,4,244
02122,02,BRIE,54,1,55
02123,02,BRISSAY-CHOIGNY,301,5,306
02124,02,BRISSY-HAMÉGICOURT,651,10,661
02125,02,BRUMETZ,193,11,204
02126,02,BRUNEHAMEL,455,5,460
02127,02,BRUYÈRES-SUR-FÈRE,192,5,197
02128,02,BRUYÈRES-ET-MONTBÉRAULT,1475,47,1522
02129,02,BRUYS,18,0,18
02130,02,BUCILLY,194,7,201
02131,02,BUCY-LE-LONG,1861,42,1903
02132,02,BUCY-LÈS-CERNY,194,3,197
02133,02,BUCY-LÈS-PIERREPONT,404,9,413
02134,02,BUIRE,862,18,880
02135,02,BUIRONFOSSE,1157,17,1174
02136,02,BURELLES,128,3,131
02137,02,BUSSIARES,160,0,160
02138,02,BUZANCY,200,3,203
02139,02,CAILLOUÃ«L-CRÉPIGNY,442,5,447
02140,02,CAMELIN,456,7,463
02141,02,LA CAPELLE,1778,79,1857
02142,02,CASTRES,253,5,258
02143,02,LE CATELET,185,6,191
02144,02,CAULAINCOURT,144,3,147
02145,02,CAUMONT,545,10,555
02146,02,CELLES-LÈS-CONDÉ,94,1,95
02148,02,CELLES-SUR-AISNE,255,2,257
02149,02,CERIZY,62,2,64
02150,02,CERNY-EN-LAONNOIS,63,0,63
02151,02,CERNY-LÈS-BUCY,116,3,119
02152,02,CERSEUIL,89,0,89
02153,02,CESSIÈRES-SUZY,764,20,784
02154,02,CHACRISE,365,7,372
02155,02,CHAILLEVOIS,166,5,171
02156,02,CHALANDRY,257,1,258
02157,02,CHAMBRY,836,23,859
02158,02,CHAMOUILLE,273,2,275
02159,02,CHAMPS,295,2,297
02160,02,CHAOURSE,544,12,556
02162,02,LA CHAPELLE-SUR-CHÉZY,291,8,299
02163,02,CHARLY-SUR-MARNE,2585,42,2627
02164,02,LE CHARMEL,325,7,332
02165,02,CHARMES,1654,26,1680
02166,02,CHARTÈVES,356,9,365
02167,02,CHASSEMY,890,14,904
02168,02,CHÂTEAU-THIERRY,15254,362,15616
02169,02,CHÂTILLON-LÈS-SONS,84,0,84
02170,02,CHÂTILLON-SUR-OISE,125,0,125
02171,02,CHAUDARDES,88,1,89
02172,02,CHAUDUN,252,9,261
02173,02,CHAUNY,11653,419,12072
02174,02,CHAVIGNON,829,16,845
02175,02,CHAVIGNY,161,4,165
02176,02,CHAVONNE,206,3,209
02177,02,CHÉRÊT,139,2,141
02178,02,CHERMIZY-AILLES,106,2,108
02179,02,CHÉRY-CHARTREUVE,385,8,393
02180,02,CHÉRY-LÈS-POUILLY,721,14,735
02181,02,CHÉRY-LÈS-ROZOY,79,1,80
02182,02,CHEVENNES,117,3,120
